"time_now","wd_avg_2mins","ws_avg_2mins","wd_avg_10mins","ws_avg_10mins","wd_maxsp_this_min","ws_maxsp_this_min","ws_avg_2_mins_helper","ws_avg_10_mins_helper","ws_maxsp_this_min_helper","water_this_min_rat","water_this_hour_rat","water_this_min_rat1","water_this_hour_rat1","water_this_min_by_weight","water_this_hour_by_weight","air_temp_by_box","sp_ventilation","air_temp_ventilation","wet_bulb_temp","value_humicap","relative_humidity","water_vapor_pressure","dew_temp","station_pressure","grass_temp","ground_temp_pt","ground_temp_infrared","ground_tem_5cm","ground_tem_10cm","ground_tem_15cm","ground_tem_20cm","ground_tem_40cm","ground_tem_80cm","ground_tem_160cm","ground_tem_320cm","water_lever_evaporation_this_min","water_evaporation_this_hour","visibility_avg_this_min","visibility_avg_10_mins","cloud_height","total_cloud_amount","low_cloud_amount","code_weather","snow_depth","freezing_rain","ice_accretion_on_wires","frozen_soil_depth","frequency_lightning","sign_of_data_quality"
"2015-07-24 20:01"," 276","   6"," 269","   5"," 282","   7","----","----","----","0000","0000","----","----","0000","0000"," 269","----","----","----","----","96"," 340"," 262","10042","----"," 270","----"," 281"," 285"," 285"," 283","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN880NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"2015-07-24 20:02"," 284","   7"," 270","   6"," 285","   9","----","----","----","0000","0000","----","----","0000","0000"," 269","----","----","----","----","96"," 340"," 262","10042","----"," 270","----"," 281"," 285"," 285"," 283","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN880NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"2015-07-24 20:03"," 290","   9"," 272","   6"," 295","  10","----","----","----","0000","0000","----","----","0000","0000"," 269","----","----","----","----","96"," 340"," 262","10042","----"," 270","----"," 280"," 285"," 285"," 283","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN880NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"2015-07-24 20:04"," 296","  10"," 275","   7"," 297","  12","----","----","----","0000","0000","----","----","0000","0000"," 268","----","----","----","----","96"," 338"," 261","10042","----"," 270","----"," 280"," 285"," 285"," 283","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN880NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"2015-07-24 20:05"," 298","  11"," 277","   8"," 298","  12","----","----","----","0000","0000","----","----","0000","0000"," 268","----","----","----","----","97"," 342"," 263","10042","----"," 270","----"," 280"," 285"," 285"," 283","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN880NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"2015-07-24 20:06"," 303","  11"," 281","   8"," 307","  12","----","----","----","0000","0000","----","----","0000","0000"," 268","----","----","----","----","97"," 342"," 263","10042","----"," 270","----"," 280"," 285"," 285"," 283","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN880NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"2015-07-24 20:07"," 308","  10"," 286","   8"," 308","  11","----","----","----","0000","0000","----","----","0000","0000"," 269","----","----","----","----","97"," 344"," 264","10042","----"," 270","----"," 280"," 285"," 285"," 283","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN880NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"2015-07-24 20:08"," 309","  10"," 291","   9"," 309","  10","----","----","----","0000","0000","----","----","0000","0000"," 269","----","----","----","----","97"," 344"," 264","10042","----"," 270","----"," 280"," 285"," 285"," 282","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN880NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"2015-07-24 20:09"," 304","   9"," 295","   9"," 298","  10","----","----","----","0000","0000","----","----","0000","0000"," 269","----","----","----","----","97"," 344"," 264","10042","----"," 270","----"," 280"," 285"," 285"," 282","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN880NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"2015-07-24 20:10"," 298","   7"," 298","   9"," 299","   8","----","----","----","0000","0000","----","----","0000","0000"," 268","----","----","----","----","97"," 342"," 263","10042","----"," 269","----"," 280"," 285"," 285"," 282","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN880NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
