time_now,wd_avg_2mins,ws_avg_2mins,wd_avg_10mins,ws_avg_10mins,wd_maxsp_this_min,ws_maxsp_this_min,air_temp_by_box,relative_humidity,water_vapor_pressure,dew_temp,station_pressure,ground_temp_pt,ground_tem_5cm,ground_tem_10cm,ground_tem_15cm,ground_tem_20cm
20161003 20:01,142,15,147,15,138,16,262,90,306,244,10098,249,267,279,282,279
20161003 20:02,142,15,147,16,145,20,262,90,306,244,10098,249,267,279,282,279
20161003 20:03,141,16,146,16,137,20,262,90,306,244,10098,249,267,278,282,279
20161003 20:04,137,16,144,16,137,23,262,90,306,244,10098,249,267,278,282,279
20161003 20:05,139,15,143,16,141,23,262,90,306,244,10098,249,267,278,282,279
20161003 20:06,141,15,143,16,141,21,262,90,306,244,10098,249,267,278,282,279
20161003 20:07,143,16,142,16,145,22,262,90,306,244,10099,249,267,278,281,279
20161003 20:08,142,16,141,16,138,18,262,90,306,244,10099,249,266,278,281,279
20161003 20:09,142,14,141,15,146,19,262,90,306,244,10099,248,266,278,281,279
20161003 20:10,146,11,141,15,145,14,262,90,306,244,10099,248,266,278,281,279
20161003 20:11,138,9,141,14,131,14,262,90,306,244,10099,248,266,278,281,279
20161003 20:12,140,10,141,14,150,18,262,90,306,244,10099,248,266,278,281,279
20161003 20:13,150,18,142,14,150,29,262,90,306,244,10100,248,266,277,281,279
20161003 20:14,144,20,143,15,138,23,262,90,306,244,10100,248,266,277,281,279
20161003 20:15,140,15,143,15,142,19,262,90,306,244,10100,248,266,277,281,279
20161003 20:16,140,16,142,15,138,26,262,90,306,244,10100,248,266,277,281,279
20161003 20:17,137,17,142,15,137,19,262,90,306,244,10100,248,266,277,281,278
20161003 20:18,137,14,141,14,137,18,262,90,306,244,10100,248,265,277,281,279
20161003 20:19,132,12,140,14,127,17,261,90,304,243,10100,248,265,277,281,279
20161003 20:20,131,13,138,15,134,17,261,90,304,243,10100,248,265,277,280,278
20161003 20:21,136,16,139,16,137,24,261,90,304,243,10100,248,265,277,280,278
20161003 20:22,141,15,138,16,144,16,261,90,304,243,10100,248,265,277,280,278
20161003 20:23,142,13,137,15,140,15,261,90,304,243,10100,248,265,277,280,278
20161003 20:24,137,11,137,14,135,12,261,90,304,243,10100,248,265,276,280,278
20161003 20:25,136,9,137,13,138,14,261,90,304,243,10100,248,265,276,280,278
20161003 20:26,134,11,136,13,130,20,261,90,304,243,10100,248,265,276,280,278
20161003 20:27,131,16,135,13,132,22,261,90,304,243,10100,248,265,276,280,278
20161003 20:28,137,15,136,13,141,14,261,90,304,243,10100,248,265,276,280,278
20161003 20:29,142,13,137,13,142,17,261,91,308,245,10100,248,265,276,280,278
20161003 20:30,140,13,138,13,137,17,261,91,308,245,10100,248,264,276,280,278
20161003 20:31,140,14,138,13,143,23,261,91,308,245,10100,249,264,276,280,278
20161003 20:32,137,14,137,13,132,19,261,91,308,245,10100,249,264,276,280,278
20161003 20:33,133,16,136,14,135,23,261,91,308,245,10099,249,264,276,280,278
20161003 20:34,136,17,137,14,137,17,261,91,308,245,10099,250,264,275,280,278
20161003 20:35,131,14,135,15,124,19,261,91,308,245,10099,250,264,275,279,278
20161003 20:36,132,13,136,14,139,15,261,91,308,245,10099,250,264,275,279,278
20161003 20:37,142,12,137,14,144,14,261,91,308,245,10099,250,264,275,279,278
20161003 20:38,143,12,138,14,143,17,261,91,308,245,10098,250,264,275,279,278
20161003 20:39,142,13,138,14,141,24,261,91,308,245,10098,251,264,275,279,278
20161003 20:40,137,17,137,15,133,24,261,91,308,245,10098,251,264,275,279,278
20161003 20:41,134,19,136,15,134,23,261,91,308,245,10098,251,264,275,279,278
20161003 20:42,132,19,136,16,131,23,261,91,308,245,10098,251,264,275,279,278
20161003 20:43,132,20,136,16,134,30,261,91,308,245,10098,251,264,275,279,278
20161003 20:44,137,22,136,17,140,33,261,91,308,245,10097,251,264,275,279,277
20161003 20:45,137,24,137,18,134,28,262,91,309,246,10097,251,264,274,279,277
20161003 20:46,136,23,137,19,139,25,262,91,309,246,10097,251,264,274,279,277
20161003 20:47,136,19,136,19,134,20,262,90,306,244,10097,251,264,274,279,277
20161003 20:48,135,21,136,21,137,36,262,90,306,244,10097,251,264,274,279,277
20161003 20:49,136,25,135,21,136,32,262,90,306,244,10097,252,264,274,279,277
20161003 20:50,139,23,136,22,143,29,262,90,306,244,10098,252,264,274,279,277
20161003 20:51,142,20,137,21,140,25,262,90,306,244,10098,252,264,274,278,277
20161003 20:52,142,19,138,22,144,25,262,90,306,244,10098,252,264,274,278,277
20161003 20:53,144,24,139,22,145,32,262,90,306,244,10098,252,264,274,278,277
20161003 20:54,143,23,139,22,141,26,262,90,306,244,10098,252,264,274,278,277
20161003 20:55,145,21,141,22,149,24,262,90,306,244,10098,252,264,274,278,277
20161003 20:56,148,20,142,21,147,23,262,90,306,244,10098,252,264,274,278,277
20161003 20:57,149,21,143,22,151,30,262,90,306,244,10097,252,264,274,278,277
20161003 20:58,149,22,144,21,146,26,262,90,306,244,10098,252,263,273,278,277
20161003 20:59,146,19,145,21,145,22,262,90,306,244,10097,252,263,273,278,277
20161003 21:00,148,19,146,21,150,23,262,90,306,244,10097,252,264,273,278,277
20161003 21:01,146,17,146,20,142,22,262,90,306,244,10098,252,263,273,278,277
20161003 21:02,142,18,146,20,143,23,262,90,306,244,10098,252,263,273,278,277
20161003 21:03,141,20,145,20,140,25,262,90,306,244,10098,252,263,273,278,277
20161003 21:04,142,19,146,19,145,23,262,90,306,244,10098,252,263,273,278,277
20161003 21:05,142,19,145,19,139,27,262,90,306,244,10098,252,263,273,278,277
20161003 21:06,143,17,145,19,146,17,262,90,306,244,10098,252,263,273,278,277
20161003 21:07,145,14,144,18,145,17,262,90,306,244,10098,252,263,273,278,277
20161003 21:08,144,14,144,17,143,18,262,90,306,244,10098,252,263,273,277,277
20161003 21:09,146,15,144,17,150,21,262,91,309,246,10098,252,263,273,277,276
20161003 21:10,149,18,144,17,148,24,262,90,306,244,10099,252,263,273,277,276
20161003 21:11,148,17,145,17,148,25,262,90,306,244,10099,252,263,273,277,276
20161003 21:12,153,15,146,17,158,27,262,91,309,246,10099,252,263,272,277,276
20161003 21:13,152,19,147,17,147,27,262,91,309,246,10099,252,263,272,277,276
20161003 21:14,151,21,148,17,155,21,262,90,306,244,10099,252,263,272,277,276
20161003 21:15,153,18,149,17,150,22,262,90,306,244,10099,252,263,272,277,276
20161003 21:16,152,15,150,17,154,16,262,90,306,244,10099,252,263,272,277,276
20161003 21:17,150,13,150,16,146,16,262,91,309,246,10099,253,263,272,277,276
20161003 21:18,153,13,151,16,159,18,262,91,309,246,10099,253,263,272,277,276
20161003 21:19,152,15,151,16,145,21,262,91,309,246,10099,253,263,272,277,276
20161003 21:20,153,16,152,16,160,21,262,91,309,246,10099,253,263,272,277,276
20161003 21:21,158,17,153,16,156,22,262,91,309,246,10100,253,263,272,277,276
20161003 21:22,156,17,153,17,156,19,262,91,309,246,10100,253,263,272,277,276
20161003 21:23,153,13,153,15,150,14,262,91,309,246,10099,253,263,272,276,276
20161003 21:24,149,14,152,15,148,26,262,91,309,246,10099,253,263,272,276,276
20161003 21:25,145,20,152,16,142,26,262,91,309,246,10099,254,263,272,276,276
20161003 21:26,138,20,150,16,133,22,262,91,309,246,10099,254,263,272,276,276
