time_now,wd_avg_2mins,ws_avg_2mins,wd_avg_10mins,ws_avg_10mins,wd_maxsp_this_min,ws_maxsp_this_min,air_temp_by_box,relative_humidity,water_vapor_pressure,dew_temp,station_pressure,ground_temp_pt,ground_tem_5cm,ground_tem_10cm,ground_tem_15cm,ground_tem_20cm
20150926 20:01,23,24,24,18,22,30,234,80,230,198,10088,219,235,244,248,247
20150926 20:02,24,23,23,20,27,34,234,80,230,198,10088,219,235,244,248,247
20150926 20:03,30,20,22,20,32,21,234,80,230,198,10087,219,235,244,248,247
20150926 20:04,34,17,24,20,36,46,234,80,230,198,10087,219,235,244,248,247
20150926 20:05,34,23,24,22,33,37,233,80,229,197,10087,219,235,244,248,247
20150926 20:06,41,26,28,22,49,35,234,80,230,198,10087,219,235,244,247,247
20150926 20:07,40,30,30,23,30,48,234,80,230,198,10087,219,235,244,247,247
20150926 20:08,33,32,31,24,35,39,234,81,233,200,10088,218,235,244,247,247
20150926 20:09,32,27,32,25,30,31,234,81,233,200,10088,218,235,243,247,247
20150926 20:10,37,22,34,24,45,24,233,81,232,199,10088,218,235,243,247,247
20150926 20:11,47,16,37,23,50,19,233,81,232,199,10088,218,235,243,247,247
20150926 20:12,48,17,39,23,46,31,233,81,232,199,10088,218,235,243,247,247
20150926 20:13,44,20,40,23,42,30,233,81,232,199,10088,218,234,243,247,247
20150926 20:14,48,19,41,23,53,29,233,81,232,199,10088,218,234,243,247,247
20150926 20:15,55,18,44,22,58,31,233,81,232,199,10088,218,234,243,247,247
20150926 20:16,51,22,43,23,45,35,233,81,232,199,10088,218,234,243,247,247
20150926 20:17,51,26,46,22,58,37,233,81,232,199,10088,218,234,243,247,247
20150926 20:18,56,19,48,20,54,19,233,81,232,199,10088,218,234,243,247,247
20150926 20:19,58,15,51,19,62,24,233,81,232,199,10088,218,234,243,247,247
20150926 20:20,57,18,52,19,52,27,233,81,232,199,10088,218,234,243,247,247
20150926 20:21,50,18,52,20,48,25,233,82,234,201,10088,218,234,243,247,247
20150926 20:22,51,17,53,19,54,25,232,82,233,200,10089,217,234,243,247,247
20150926 20:23,51,14,53,18,48,15,232,82,233,200,10089,217,234,243,247,247
20150926 20:24,45,13,52,18,41,26,232,82,233,200,10089,217,234,243,247,247
20150926 20:25,38,18,50,18,35,28,232,82,233,200,10089,217,233,242,247,247
20150926 20:26,42,20,50,17,49,32,232,82,233,200,10089,217,233,242,247,247
20150926 20:27,46,18,49,17,44,24,232,82,233,200,10089,217,233,242,247,247
20150926 20:28,38,16,46,17,31,23,232,82,233,200,10089,217,233,242,247,247
20150926 20:29,32,14,43,16,32,16,231,83,235,201,10089,217,233,242,247,247
20150926 20:30,32,16,41,16,32,32,231,83,235,201,10090,217,233,242,247,247
20150926 20:31,31,21,40,17,30,28,231,83,235,201,10090,217,233,242,247,247
20150926 20:32,31,22,37,17,31,28,231,83,235,201,10090,217,233,242,247,247
20150926 20:33,39,18,37,18,47,19,231,83,235,201,10090,217,233,242,247,247
20150926 20:34,43,15,37,18,39,26,231,83,235,201,10090,217,233,242,246,247
20150926 20:35,43,16,38,17,46,26,231,83,235,201,10090,217,233,242,246,247
