time_now,wd_avg_2mins,ws_avg_2mins,wd_avg_10mins,ws_avg_10mins,wd_maxsp_this_min,ws_maxsp_this_min,air_temp_by_box,relative_humidity,water_vapor_pressure,dew_temp,station_pressure,ground_temp_pt,ground_tem_5cm,ground_tem_10cm,ground_tem_15cm,ground_tem_20cm
20160103 20:01,193,4,181,5,200,4,81,85,92,57,10219,62,92,109,112,110
20160103 20:02,202,2,187,4,204,4,81,85,92,57,10220,62,91,108,112,110
20160103 20:03,203,3,191,5,202,5,80,85,91,56,10220,61,91,108,112,110
20160103 20:04,204,5,194,5,207,6,80,85,91,56,10220,61,91,108,112,110
20160103 20:05,206,6,196,5,205,6,80,85,91,56,10219,61,91,108,112,110
20160103 20:06,201,5,197,4,197,5,80,85,91,56,10219,61,91,108,112,110
20160103 20:07,196,5,198,4,196,5,80,85,91,56,10219,61,91,108,112,110
20160103 20:08,193,5,198,4,190,6,80,85,91,56,10219,61,91,108,112,110
20160103 20:09,184,4,197,4,177,4,79,85,91,55,10219,61,90,108,112,109
20160103 20:10,169,2,194,4,160,3,79,85,91,55,10219,60,90,108,112,110
20160103 20:11,149,0,188,4,137,0,79,85,91,55,10219,60,90,108,112,110
20160103 20:12,120,0,180,3,104,0,79,85,91,55,10219,60,90,108,112,110
20160103 20:13,91,0,169,3,77,0,78,85,90,54,10219,60,90,107,112,109
20160103 20:14,67,0,156,2,57,0,78,86,91,56,10219,60,90,107,112,110
20160103 20:15,56,0,139,2,54,1,78,86,91,56,10219,60,90,107,112,109
20160103 20:16,58,0,121,1,62,0,78,86,91,56,10218,60,90,107,111,109
20160103 20:17,75,0,108,1,88,0,78,86,91,56,10218,59,89,107,111,109
20160103 20:18,81,0,96,0,74,0,78,86,91,56,10218,59,89,107,111,109
20160103 20:19,85,0,89,0,96,0,77,86,90,55,10218,59,89,107,111,109
20160103 20:20,110,0,87,0,123,0,77,86,90,55,10218,59,89,107,111,109
20160103 20:21,127,0,86,0,130,0,77,85,89,53,10218,59,89,106,111,109
