time_now,wd_avg_2mins,ws_avg_2mins,wd_avg_10mins,ws_avg_10mins,wd_maxsp_this_min,ws_maxsp_this_min,air_temp_by_box,relative_humidity,water_vapor_pressure,dew_temp,station_pressure,ground_temp_pt,ground_tem_5cm,ground_tem_10cm,ground_tem_15cm,ground_tem_20cm
20160526 20:01,113,32,117,36,113,45,222,90,241,205,10084,239,267,278,274,260
20160526 20:02,112,34,117,36,111,44,222,90,241,205,10084,240,267,278,274,260
20160526 20:03,113,38,117,36,115,54,222,90,241,205,10085,239,267,278,273,260
20160526 20:04,121,39,117,35,126,47,221,90,239,204,10085,239,267,277,273,260
20160526 20:05,121,34,117,35,115,38,222,90,241,205,10085,239,266,277,273,260
20160526 20:06,114,28,116,34,112,34,222,90,241,205,10085,239,266,277,273,259
20160526 20:07,114,25,116,32,115,33,222,90,241,205,10085,239,266,277,273,259
20160526 20:08,115,25,115,32,115,33,222,90,241,205,10086,239,266,277,273,259
20160526 20:09,118,25,115,31,120,31,222,90,241,205,10086,239,266,277,273,259
20160526 20:10,118,24,116,30,116,38,222,90,241,205,10086,240,265,276,273,259
20160526 20:11,118,32,116,31,120,50,222,90,241,205,10086,239,265,276,273,259
20160526 20:12,124,35,118,30,128,43,222,90,241,205,10086,239,265,276,272,259
20160526 20:13,128,29,119,29,127,42,222,90,241,205,10087,239,265,276,272,259
20160526 20:14,119,32,118,29,111,49,222,90,241,205,10087,239,265,276,272,259
20160526 20:15,114,36,118,30,116,54,221,90,239,204,10087,238,265,276,272,259
20160526 20:16,116,44,118,32,116,55,221,90,239,204,10087,238,264,275,272,259
20160526 20:17,118,46,119,34,120,53,221,90,239,204,10087,237,264,275,272,259
20160526 20:18,121,42,120,36,122,48,221,90,239,204,10087,237,264,275,272,259
20160526 20:19,118,33,119,36,114,40,221,90,239,204,10087,237,264,275,272,259
20160526 20:20,117,25,119,36,121,35,221,90,239,204,10087,237,264,275,272,259
20160526 20:21,124,27,120,34,127,43,221,90,239,204,10087,238,263,274,272,259
20160526 20:22,128,33,120,35,129,49,221,90,239,204,10088,238,263,274,272,259
20160526 20:23,124,37,119,36,119,49,221,90,239,204,10087,237,263,274,271,259
20160526 20:24,116,38,120,37,114,59,221,90,239,204,10087,237,263,274,271,259
20160526 20:25,119,42,121,37,124,61,221,90,239,204,10088,237,263,274,271,259
20160526 20:26,121,40,121,36,118,46,221,90,239,204,10088,236,263,274,271,259
20160526 20:27,116,34,120,35,114,42,221,90,239,204,10088,236,262,274,271,259
20160526 20:28,121,34,121,34,129,50,221,90,239,204,10088,237,262,273,271,259
20160526 20:29,123,34,121,35,116,49,221,90,239,204,10087,236,262,273,271,259
20160526 20:30,114,31,120,35,113,37,220,90,238,203,10087,236,262,273,271,259
20160526 20:31,114,31,119,36,115,44,220,90,238,203,10087,236,262,273,271,259
20160526 20:32,115,33,118,35,116,54,220,90,238,203,10087,236,262,273,271,259
20160526 20:33,113,36,117,36,111,51,220,90,238,203,10087,236,261,273,270,259
20160526 20:34,114,45,117,37,118,61,220,90,238,203,10087,236,261,272,270,259
20160526 20:35,123,45,118,36,128,50,220,90,238,203,10088,235,261,272,270,258
20160526 20:36,128,40,119,37,129,53,220,90,238,203,10088,235,261,272,270,258
20160526 20:37,126,40,120,37,122,48,220,90,238,203,10088,236,261,272,270,258
20160526 20:38,122,43,119,39,122,61,220,91,240,205,10088,235,260,272,270,258
20160526 20:39,121,42,119,39,119,49,220,91,240,205,10088,235,260,272,270,258
20160526 20:40,121,32,120,39,123,42,220,91,240,205,10087,235,260,272,270,258
20160526 20:41,127,31,122,39,130,42,220,91,240,205,10087,235,260,271,270,258
20160526 20:42,126,31,122,38,122,37,220,91,240,205,10087,235,260,271,270,258
20160526 20:43,118,29,123,38,113,50,220,91,240,205,10087,235,260,271,269,258
20160526 20:44,123,31,124,36,132,41,220,91,240,205,10088,236,259,271,269,258
20160526 20:45,127,27,123,34,122,32,220,91,240,205,10088,236,259,271,269,258
20160526 20:46,118,22,122,32,114,27,220,91,240,205,10088,236,259,271,269,258
20160526 20:47,123,25,123,31,131,41,220,91,240,205,10087,236,259,271,269,258
20160526 20:48,129,32,123,30,127,47,220,91,240,205,10088,236,259,270,269,258
20160526 20:49,129,40,124,31,130,51,219,91,239,204,10088,235,259,270,269,258
20160526 20:50,127,41,125,31,125,42,219,91,239,204,10088,235,259,270,269,258
20160526 20:51,129,33,125,31,132,41,219,91,239,204,10088,235,258,270,269,258
20160526 20:52,130,32,125,32,127,44,219,91,239,204,10088,235,258,270,268,258
20160526 20:53,127,32,127,32,127,37,219,91,239,204,10088,234,258,270,268,258
20160526 20:54,131,35,127,32,135,50,219,91,239,204,10088,235,258,269,268,258
20160526 20:55,132,35,128,33,128,51,219,91,239,204,10088,234,258,269,268,258
20160526 20:56,126,34,129,35,125,50,219,91,239,204,10088,234,258,269,268,258
20160526 20:57,127,31,129,34,130,35,219,91,239,204,10088,234,257,269,268,258
20160526 20:58,127,26,128,34,124,44,219,91,239,204,10088,234,257,269,268,258
20160526 20:59,125,32,128,33,126,48,219,91,239,204,10088,234,257,269,268,257
20160526 21:00,127,34,128,32,128,43,219,91,239,204,10089,234,257,269,268,257
20160526 21:01,129,35,128,33,130,47,219,91,239,204,10089,234,257,268,268,257
20160526 21:02,127,35,128,33,124,38,219,91,239,204,10089,233,257,268,268,257
20160526 21:03,124,31,127,33,125,39,219,91,239,204,10089,233,257,268,267,257
20160526 21:04,126,32,127,32,128,41,219,91,239,204,10089,233,256,268,267,257
20160526 21:05,125,31,126,32,122,39,219,91,239,204,10089,233,256,268,267,257
20160526 21:06,123,30,126,31,124,34,219,91,239,204,10089,233,256,268,267,257
20160526 21:07,125,26,126,31,127,34,219,91,239,204,10089,233,256,268,267,257
20160526 21:08,118,24,124,31,109,36,219,91,239,204,10089,233,256,267,267,257
20160526 21:09,112,28,123,30,114,54,219,91,239,204,10089,233,256,267,267,257
20160526 21:10,117,30,122,30,121,40,219,91,239,204,10089,233,256,267,267,257
20160526 21:11,118,33,121,30,116,47,219,91,239,204,10089,233,256,267,267,257
20160526 21:12,115,36,120,30,115,51,219,91,239,204,10089,233,255,267,267,257
20160526 21:13,115,25,119,29,116,29,219,91,239,204,10089,233,255,267,267,257
20160526 21:14,124,27,120,29,132,43,219,91,239,204,10089,233,255,267,266,257
20160526 21:15,127,34,120,29,122,46,219,91,239,204,10090,233,255,266,266,257
20160526 21:16,126,34,120,30,130,44,219,91,239,204,10090,233,255,266,266,257
20160526 21:17,129,35,120,31,128,47,219,91,239,204,10090,232,255,266,266,257
20160526 21:18,127,36,122,32,125,52,219,91,239,204,10090,232,255,266,266,257
20160526 21:19,121,33,122,32,117,41,219,91,239,204,10090,232,254,266,266,257
20160526 21:20,117,27,122,32,116,47,219,91,239,204,10090,232,254,266,266,257
20160526 21:21,116,30,122,32,117,45,219,91,239,204,10090,232,254,266,266,256
20160526 21:22,120,32,123,31,124,40,219,91,239,204,10090,232,254,266,266,256
20160526 21:23,127,31,124,33,129,47,218,91,238,203,10091,232,254,265,266,256
20160526 21:24,131,34,124,33,133,46,218,91,238,203,10091,232,254,265,265,256
20160526 21:25,126,38,124,33,119,52,218,91,238,203,10091,232,254,265,265,256
20160526 21:26,117,34,122,33,116,39,218,91,238,203,10091,232,253,265,265,256
20160526 21:27,118,31,122,33,121,41,218,92,240,204,10091,232,253,265,265,256
20160526 21:28,119,32,121,32,118,36,218,92,240,204,10091,232,253,265,265,256
20160526 21:29,124,32,122,32,129,40,218,92,240,204,10091,231,253,265,265,256
20160526 21:30,123,33,122,33,117,45,218,92,240,204,10091,231,253,264,265,256
20160526 21:31,111,32,121,33,105,44,218,92,240,204,10091,231,253,264,265,256
20160526 21:32,114,34,121,33,123,47,218,92,240,204,10091,231,253,264,265,256
20160526 21:33,118,35,119,34,112,43,218,92,240,204,10091,231,253,264,265,256
20160526 21:34,115,38,118,34,117,52,218,92,240,204,10091,231,252,264,265,256
20160526 21:35,115,40,117,34,112,49,218,92,240,204,10091,230,252,264,264,256
20160526 21:36,117,34,118,34,123,41,218,92,240,204,10091,231,252,264,264,256
20160526 21:37,120,31,117,34,117,35,218,92,240,204,10091,231,252,264,264,256
20160526 21:38,111,26,116,33,105,39,218,92,240,204,10091,231,252,263,264,256
20160526 21:39,111,29,115,33,116,42,218,92,240,204,10091,231,252,263,264,256
20160526 21:40,115,37,114,34,113,50,218,92,240,204,10091,231,252,263,264,256
20160526 21:41,113,35,115,34,113,42,218,92,240,204,10090,230,252,263,264,256
20160526 21:42,117,30,115,33,121,36,218,92,240,204,10090,230,251,263,264,256
