58463 2015   01   251213000E305300N   46   56  105  10531-------1111-1-111-1111111111-------V1.00---------------------------------------------------------------------------------------------------------------------------------------------------------------
2001 119  23 119  23 118  35------------00000000--------00000000 106----------------  84 107  8010215----  72----  88  97 100  95-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2002 120  24 120  23 121  30------------00000000--------00000000 106----------------  84 107  8010215----  72----  88  97  99  95-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2003 120  24 119  22 119  39------------00000000--------00000000 106----------------  84 107  8010215----  72----  88  97  99  95-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2004 125  27 121  23 131  42------------00000000--------00000000 106----------------  84 107  8010214----  73----  87  97  99  95-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2005 128  27 122  24 124  36------------00000000--------00000000 106----------------  84 107  8010214----  73----  87  97  99  95-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2006 122  23 121  23 120  33------------00000000--------00000000 106----------------  84 107  8010214----  73----  87  97  99  95-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2007 121  21 122  23 123  29------------00000000--------00000000 106----------------  84 107  8010214----  73----  87  97  99  95-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2008 130  25 124  24 136  38------------00000000--------00000000 106----------------  84 107  8010215----  73----  87  97  99  95-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2009 128  29 123  25 120  35------------00000000--------00000000 105----------------  84 107  7910214----  72----  87  97  99  95-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2010 125  22 124  24 130  24------------00000000--------00000000 105----------------  84 107  7910214----  72----  87  96  99  95-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2011 129  18 125  24 128  28------------00000000--------00000000 105----------------  84 107  7910214----  71----  87  96  99  95-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N1111NNNNNNNNNNNNNNNNN
