58463 2015   12   141213000E305300N   46   56  105    031-------1111-1-111-1111111111-------V1.00---------------------------------------------------------------------------------------------------------------------------------------------------------------
2031 322  32 321  29 323  45------------00000000--------00000000  83----------------  89  97  6610235----  82----  90  98 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2032 324  36 322  31 325  51------------00000000--------00000000  83----------------  89  97  6610234----  82----  90  98 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2033 324  33 321  32 322  42------------00000000--------00000000  83----------------  89  97  6610234----  82----  89  98 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2034 311  34 320  33 301  47------------00000000--------00000000  82----------------  89  97  6510234----  82----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2035 308  32 321  33 316  41------------00000000--------00000000  82----------------  89  97  6510234----  82----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2036 316  27 320  33 316  49------------00000000--------00000000  82----------------  89  97  6510234----  81----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2037 315  25 319  32 314  34------------00000000--------00000000  82----------------  89  97  6510234----  81----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2038 316  22 319  30 317  29------------00000000--------00000000  82----------------  88  96  6310235----  81----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2039 316  25 317  30 314  41------------00000000--------00000000  81----------------  89  96  6410235----  81----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2040 310  28 315  29 305  38------------00000000--------00000000  81----------------  89  96  6410236----  81----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2041 308  27 314  29 311  39------------00000000--------00000000  81----------------  89  96  6410236----  81----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2042 316  31 314  28 321  45------------00000000--------00000000  81----------------  89  96  6410236----  81----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2043 322  30 314  28 323  32------------00000000--------00000000  81----------------  88  95  6210236----  81----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2044 322  23 316  26 320  30------------00000000--------00000000  81----------------  89  96  6410236----  81----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2045 316  22 315  26 313  28------------00000000--------00000000  81----------------  89  96  6410236----  81----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
