58463 2016   01   261213000E305300N   46   56  105    031-------1111-1-111-1111111111-------V1.00---------------------------------------------------------------------------------------------------------------------------------------------------------------
2030 258  16 258  16 258  18------------00000000--------00000000 -42----------------  67  30 -9410349---- -35----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2031 257  15 258  16 255  15------------00000000--------00000000 -42----------------  67  30 -9410349---- -35----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2032 254  14 258  16 252  16------------00000000--------00000000 -42----------------  66  30 -9610349---- -35----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2033 253  15 258  16 253  18------------00000000--------00000000 -43----------------  66  29 -9710349---- -35----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2034 253  16 257  16 253  18------------00000000--------00000000 -43----------------  66  29 -9710349---- -35----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2035 253  15 256  15 253  16------------00000000--------00000000 -43----------------  66  29 -9710350---- -35----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2036 256  13 256  15 259  13------------00000000--------00000000 -43----------------  66  29 -9710350---- -35----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2037 263  11 257  14 267  12------------00000000--------00000000 -43----------------  66  29 -9710349---- -35----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2038 270  10 258  14 273  12------------00000000--------00000000 -42----------------  66  30 -9610349---- -35----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2039 273   9 260  13 274  10------------00000000--------00000000 -42----------------  66  30 -9610349---- -35----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2040 276   9 262  12 277  11------------00000000--------00000000 -42----------------  66  30 -9610349---- -35----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2041 279  10 264  12 280  13------------00000000--------00000000 -42----------------  66  30 -9610349---- -35----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2042 279  11 267  12 279  13------------00000000--------00000000 -43----------------  66  29 -9710349---- -35----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2043 276  10 269  11 273  11------------00000000--------00000000 -43----------------  66  29 -9710348---- -36----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2044 272   9 271  10 272  10------------00000000--------00000000 -44----------------  66  29 -9810348---- -36----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2045 270   8 272  10 269  10------------00000000--------00000000 -45----------------  67  29 -9710348---- -36----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2046 270   8 273   9 271  10------------00000000--------00000000 -45----------------  68  30 -9510348---- -36----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
